State,Transaction_Year,Quarters,District,RegisteredUsers,latitude,longitude
andhra-pradesh,2022,4,guntur,2774365,15.9129,79.739987
andhra-pradesh,2022,4,chittoor,2636036,15.9129,79.739987
andhra-pradesh,2022,4,anantapur,2128066,15.9129,79.739987
andhra-pradesh,2022,4,kurnool,2018290,15.9129,79.739987
andhra-pradesh,2022,4,west godavari,1893310,15.9129,79.739987
andhra-pradesh,2022,4,spsr nellore,1663684,15.9129,79.739987
andhra-pradesh,2022,4,prakasam,1642503,15.9129,79.739987
arunachal-pradesh,2018,1,papum pare,7649,26.879641,80.56982
arunachal-pradesh,2018,1,west kameng,2202,26.879641,80.56982
arunachal-pradesh,2018,1,east siang,1803,26.879641,80.56982
arunachal-pradesh,2018,1,tawang,1525,26.879641,80.56982
arunachal-pradesh,2018,1,changlang,1208,26.879641,80.56982
arunachal-pradesh,2018,1,lohit,1207,26.879641,80.56982
arunachal-pradesh,2018,1,west siang,846,26.879641,80.56982
arunachal-pradesh,2018,1,namsai,737,26.879641,80.56982
arunachal-pradesh,2018,1,lower dibang valley,601,26.879641,80.56982
arunachal-pradesh,2018,1,upper subansiri,572,26.879641,80.56982
arunachal-pradesh,2018,2,papum pare,11418,26.879641,80.56982
arunachal-pradesh,2018,2,west kameng,3442,26.879641,80.56982
arunachal-pradesh,2018,2,east siang,2646,26.879641,80.56982
arunachal-pradesh,2018,2,tawang,2266,26.879641,80.56982
arunachal-pradesh,2018,2,changlang,2014,26.879641,80.56982
arunachal-pradesh,2018,2,lohit,1898,26.879641,80.56982
arunachal-pradesh,2018,2,namsai,1276,26.879641,80.56982
arunachal-pradesh,2018,2,west siang,1224,26.879641,80.56982
arunachal-pradesh,2018,2,lower dibang valley,893,26.879641,80.56982
arunachal-pradesh,2018,2,upper subansiri,883,26.879641,80.56982
arunachal-pradesh,2018,3,papum pare,16009,26.879641,80.56982
arunachal-pradesh,2018,3,west kameng,4765,26.879641,80.56982
arunachal-pradesh,2018,3,east siang,3590,26.879641,80.56982
arunachal-pradesh,2018,3,tawang,3112,26.879641,80.56982
arunachal-pradesh,2018,3,changlang,2889,26.879641,80.56982
arunachal-pradesh,2018,3,lohit,2612,26.879641,80.56982
arunachal-pradesh,2018,3,namsai,1862,26.879641,80.56982
arunachal-pradesh,2018,3,west siang,1652,26.879641,80.56982
arunachal-pradesh,2018,3,lower dibang valley,1286,26.879641,80.56982
arunachal-pradesh,2018,3,tirap,1226,26.879641,80.56982
arunachal-pradesh,2018,4,papum pare,21342,26.879641,80.56982
arunachal-pradesh,2018,4,west kameng,6492,26.879641,80.56982
arunachal-pradesh,2018,4,east siang,4813,26.879641,80.56982
arunachal-pradesh,2018,4,tawang,4085,26.879641,80.56982
arunachal-pradesh,2018,4,changlang,4036,26.879641,80.56982
arunachal-pradesh,2018,4,lohit,3588,26.879641,80.56982
arunachal-pradesh,2018,4,namsai,2495,26.879641,80.56982
arunachal-pradesh,2018,4,west siang,2117,26.879641,80.56982
arunachal-pradesh,2018,4,lower dibang valley,1827,26.879641,80.56982
arunachal-pradesh,2018,4,tirap,1684,26.879641,80.56982
arunachal-pradesh,2019,1,papum pare,26298,26.879641,80.56982
arunachal-pradesh,2019,1,west kameng,8115,26.879641,80.56982
